Rk,Player,Tm,Salary17to18,2018-19,2019-20,2020-21,2021-22,2022-23,Signed Using,Guaranteed
61,Kent Bazemore,ATL,16910113,18089887,19269662,,,,Cap Space,35000000
71,Dennis Schroder,ATL,15500000,15500000,15500000,15500000,,,1st Round Pick,62000000
96,Miles Plumlee,ATL,12500000,12500000,12500000,,,,Bird Rights,37500000
112,Jamal Crawford,ATL,10942762,2304226,,,,,,13246988
166,Marco Belinelli,ATL,6606060,,,,,,Cap Space,6606060
181,Dewayne Dedmon,ATL,6000000,6300000,,,,,Cap space,6000000
182,Ersan Ilyasova,ATL,6000000,,,,,,Cap space,6000000
202,Mike Muscala,ATL,5000000,5000000,,,,,Cap space,5000000
278,Richard Jefferson,ATL,2500000,,,,,,,2500000
279,Malcolm Delaney,ATL,2500000,,,,,,Room Exception,2500000
285,Taurean Waller-Prince,ATL,2422560,2526840,3481986,,,,1st Round pick,4949400
333,Luke Babbitt,ATL,1974159,,,,,,Minimum Salary,987080
334,John Collins,ATL,1936920,2299080,2686560,4137302,,,1st Round Pick,4236000
351,Mike Dunleavy,ATL,1662500,,,,,,,1662500
363,DeAndre' Bembry,ATL,1567200,1634640,2603982,,,,1st Round pick,3201840
429,Nicolas Brussino,ATL,1312611,,,,,,,1312611
430,Diamond Stone,ATL,1312611,,,,,,,1312611
442,Isaiah Taylor,ATL,1312611,1544951,,,,,,
465,Tyler Dorsey,ATL,815615,1378242,,,,,Minimum Salary,2193857
494,Quinn Cook,ATL,100000,,,,,,,100000
4,Gordon Hayward,BOS,29727900,31214295,32700690,34187085,,,Cap space,93642885
11,Al Horford,BOS,27734405,28928710,30123015,,,,Cap Space,56663115
48,Kyrie Irving,BOS,18868625,20099188,21329750,,,,Bird Rights,38967813
187,Jayson Tatum,BOS,5645400,6700800,7830000,9897120,,,1st Round Pick,12346200
200,Marcus Morris,BOS,5000000,5375000,,,,,Bird Rights,10375000
206,Jaylen Brown,BOS,4956480,5169960,6534829,,,,1st Rd pick,10126440
211,Marcus Smart,BOS,4538020,,,,,,1st Round Pick,4538020
217,Aron Baynes,BOS,4328000,,,,,,Room Exception,4328000
307,Guerschon Yabusele,BOS,2247480,2667600,3117240,4781846,,,1st Round Pick,4915080
332,Terry Rozier,BOS,1988520,3050390,,,,,1st round pick,5038910
371,Shane Larkin,BOS,1524305,,,,,,Minimum Salary,1524305
443,Semi Ojeleye,BOS,1291892,1378242,1618520,1752950,,,,2193857
